Class,Feature,Coefficient
CLAIM,sustainability,3.5023918465835138
CLAIM,believe,2.916067787849775
CLAIM,committed,2.6911424594176734
CLAIM,sustainable,2.329656194041037
CLAIM,dedicated,2.13128023302835
CLAIM,responsible,1.9085216784097605
CLAIM,commitment,1.688851429968576
CLAIM,responsibility,1.6861916297275397
CLAIM,environmental,1.5787118448987578
CLAIM,proud,1.5222131689452338
CLAIM,mission,1.3753395893537
CLAIM,believes,1.3707037849844685
CLAIM,strive,1.3676712728875664
CLAIM,communities,1.30713144607662
CLAIM,responsibilities,1.2965596239735226
CLAIM,solutions,1.2188808978055947
CLAIM,future,1.2027514850600223
CLAIM,world,1.1834587554745502
CLAIM,integrity,1.1783116637644113
CLAIM,microsoft,1.1248943766390436
NEUTRAL,patagonia,2.944045714115009
NEUTRAL,organization,1.390206262086019
NEUTRAL,partner,1.236672241500688
NEUTRAL,located,1.2138912895765133
NEUTRAL,project,1.1824499718332904
NEUTRAL,members,0.9951643818546748
NEUTRAL,includes,0.9917688503562015
NEUTRAL,microsoft,0.9898844506868352
NEUTRAL,held,0.9386025042102034
NEUTRAL,largest,0.9251039035375954
NEUTRAL,director,0.9152534826870338
NEUTRAL,nonprofit,0.8807849171670392
NEUTRAL,tesla,0.8738084276569229
NEUTRAL,non,0.8621098046998218
NEUTRAL,ai,0.8175396733712915
NEUTRAL,battery,0.8158454429360611
NEUTRAL,chile,0.8111733268625483
NEUTRAL,visits,0.7979994071404787
NEUTRAL,years,0.7861909101364334
NEUTRAL,australia,0.7846210519911522
OUTCOME,2024,5.107081032245472
OUTCOME,2025,3.185664551615345
OUTCOME,million,2.719744348362665
OUTCOME,000,2.6725609054860873
OUTCOME,achieved,2.234194773512581
OUTCOME,reduced,1.7562310719323866
OUTCOME,billion,1.7196753091156964
OUTCOME,fy25,1.688388518800543
OUTCOME,fy24,1.6617208008481137
OUTCOME,2022,1.5952827439314594
OUTCOME,increased,1.5724915865286428
OUTCOME,2023,1.558426638751266
OUTCOME,total,1.4132971508915972
OUTCOME,completed,1.3850202669732499
OUTCOME,year,1.3227684861852302
OUTCOME,tons,1.3057873880112665
OUTCOME,average,1.2462361867404117
OUTCOME,2024 tesla,1.1757699564184534
OUTCOME,waste,1.0909344191230714
OUTCOME,rate,1.0419799247946526
TARGET,continue,4.894969809775131
TARGET,plan,3.657037204370204
TARGET,aim,3.0203201138276987
TARGET,target,2.5908808541592214
TARGET,expand,2.3162006544623757
TARGET,committed,2.3109347626637766
TARGET,reduce,2.242899295569873
TARGET,2030,2.1140585329817045
TARGET,ambition,1.8321827982203331
TARGET,goal,1.7862787803427915
TARGET,expected,1.77388363770557
TARGET,plan continue,1.7164965753508241
TARGET,develop,1.6609797441908303
TARGET,seek,1.5446827383086987
TARGET,committed continuing,1.5340714629432768
TARGET,2026,1.5260731659762377
TARGET,intend,1.3578840810423425
TARGET,continuing,1.348272687206143
TARGET,zero,1.3279857774111987
TARGET,expect,1.3152096412165748
TRANSPARENCY,data,2.765655485134258
TRANSPARENCY,report,2.4609359689097037
TRANSPARENCY,reports,1.9816311994418145
TRANSPARENCY,disclosures,1.8789301613631815
TRANSPARENCY,provide,1.717347343139366
TRANSPARENCY,regulatory,1.6991607828175135
TRANSPARENCY,accounting,1.6475228671975324
TRANSPARENCY,emissions,1.6070010055484412
TRANSPARENCY,disclosure,1.5984451020635977
TRANSPARENCY,assurance,1.5935439332620382
TRANSPARENCY,reporting,1.5808440681189908
TRANSPARENCY,scope,1.5693310338740203
TRANSPARENCY,framework,1.4086492608057484
TRANSPARENCY,party,1.3756542877641764
TRANSPARENCY,standards,1.3665657271968517
TRANSPARENCY,reported,1.299677597809487
TRANSPARENCY,publicly,1.2756798766994826
TRANSPARENCY,disclose,1.2716550136273281
TRANSPARENCY,accordance,1.2681989801996902
TRANSPARENCY,using,1.2369823675516296
